timestamp,hourly_queue_count,facility_model,facility_name,is_override,no_show_rate,tickets_whatsapp,tickets_web,tickets_sms,tickets_ussd,avg_service_time_desk_1,avg_service_time_desk_2,avg_service_time_desk_3
2026-04-01 00:00:00,5,Continuous_24_7,Central Emergency Clinic,False,13.77,3,1,1,0,14.04,15.41,24.69
2026-04-01 01:00:00,7,Continuous_24_7,Central Emergency Clinic,False,6.26,2,2,3,0,9.82,12.75,23.23
2026-04-01 02:00:00,17,Continuous_24_7,Central Emergency Clinic,False,10.68,7,4,2,4,11.18,14.13,21.29
2026-04-01 03:00:00,5,Continuous_24_7,Central Emergency Clinic,False,6.77,3,1,0,1,13.57,14.4,23.82
2026-04-01 04:00:00,8,Continuous_24_7,Central Emergency Clinic,False,13.31,4,3,0,1,12.08,18.54,24.34
2026-04-01 05:00:00,5,Continuous_24_7,Central Emergency Clinic,False,9.51,0,4,0,1,11.99,14.72,28.52
2026-04-01 06:00:00,9,Continuous_24_7,Central Emergency Clinic,False,6.44,3,1,1,4,11.37,11.89,20.78
2026-04-01 07:00:00,17,Continuous_24_7,Central Emergency Clinic,False,9.8,6,2,4,5,12.9,14.2,19.33
2026-04-01 08:00:00,5,Continuous_24_7,Central Emergency Clinic,False,5.86,0,2,0,3,11.26,18.59,23.38
2026-04-01 09:00:00,15,Continuous_24_7,Central Emergency Clinic,False,7.16,5,5,3,2,11.78,15.68,21.77
2026-04-01 10:00:00,6,Continuous_24_7,Central Emergency Clinic,False,8.72,4,0,0,2,11.36,13.55,21.58
2026-04-01 11:00:00,6,Continuous_24_7,Central Emergency Clinic,False,9.42,1,3,1,1,11.95,11.26,21.72
2026-04-01 12:00:00,6,Continuous_24_7,Central Emergency Clinic,False,10.03,2,3,1,0,10.52,11.34,24.31
2026-04-01 13:00:00,15,Continuous_24_7,Central Emergency Clinic,False,11.57,8,2,3,2,13.64,12.72,20.23
2026-04-01 14:00:00,8,Continuous_24_7,Central Emergency Clinic,False,12.43,4,3,1,0,12.38,16.55,17.83
2026-04-01 15:00:00,9,Continuous_24_7,Central Emergency Clinic,False,8.69,2,4,2,1,12.82,15.43,23.04
2026-04-01 16:00:00,12,Continuous_24_7,Central Emergency Clinic,False,5.15,7,4,1,0,12.21,14.64,24.2
2026-04-01 17:00:00,15,Continuous_24_7,Central Emergency Clinic,False,6.53,6,5,3,1,11.91,15.68,29.44
2026-04-01 18:00:00,7,Continuous_24_7,Central Emergency Clinic,False,8.03,1,3,2,1,12.44,13.46,24.3
2026-04-01 19:00:00,9,Continuous_24_7,Central Emergency Clinic,False,4.84,3,3,2,1,13.09,13.96,29.66
2026-04-01 20:00:00,16,Continuous_24_7,Central Emergency Clinic,False,11.11,6,5,3,2,10.57,15.42,28.68
2026-04-01 21:00:00,17,Continuous_24_7,Central Emergency Clinic,False,7.34,7,5,3,2,12.38,10.57,27.03
2026-04-01 22:00:00,9,Continuous_24_7,Central Emergency Clinic,False,6.82,4,2,2,1,9.17,16.57,15.94
2026-04-01 23:00:00,16,Continuous_24_7,Central Emergency Clinic,False,13.26,6,4,4,2,10.59,13.18,29.8
2026-04-02 00:00:00,11,Continuous_24_7,Central Emergency Clinic,False,5.48,7,0,0,4,12.59,15.41,22.33
2026-04-02 01:00:00,14,Continuous_24_7,Central Emergency Clinic,False,5.67,4,6,3,1,10.61,13.84,21.8
2026-04-02 02:00:00,5,Continuous_24_7,Central Emergency Clinic,False,9.05,0,3,0,2,12.32,13.13,30.46
2026-04-02 03:00:00,6,Continuous_24_7,Central Emergency Clinic,False,11.67,2,2,1,1,11.83,12.71,17.31
2026-04-02 04:00:00,15,Continuous_24_7,Central Emergency Clinic,False,12.24,8,2,4,1,12.68,12.27,18.39
2026-04-02 05:00:00,16,Continuous_24_7,Central Emergency Clinic,False,12.46,4,4,5,3,12.32,12.68,15.54
2026-04-02 06:00:00,17,Continuous_24_7,Central Emergency Clinic,False,6.21,5,7,4,1,10.84,16.19,16.19
2026-04-02 07:00:00,7,Continuous_24_7,Central Emergency Clinic,False,10.98,2,0,3,2,14.84,12.4,27.7
2026-04-02 08:00:00,14,Continuous_24_7,Central Emergency Clinic,False,13.78,7,3,0,4,13.56,13.73,16.98
2026-04-02 09:00:00,11,Continuous_24_7,Central Emergency Clinic,False,6.32,0,5,3,3,11.02,9.14,26.01
2026-04-02 10:00:00,16,Continuous_24_7,Central Emergency Clinic,False,5.68,8,2,4,2,10.25,15.64,16.1
